日期,時間,產品ID,產品名稱,目前價格
2026-08-14,17:21,4,Intel Core Ultra 5 225【10核】3.3G(↑4.9G) /20M /內顯Xe-core【代理盒裝】,5280
2026-08-14,17:21,5,Intel Core Ultra 5 245K【14核】4.2G(↑5.2G) /24M /內顯Xe-core /無風扇【代理盒裝】,6990
2026-08-14,17:21,6,Intel Core Ultra 5 250KF Plus【18核】4.2G(↑5.3G) /30M /無內顯 /無風扇【代理盒裝】,8250
2026-08-14,17:21,7,Intel Core Ultra 5 250K Plus【18核】4.2G(↑5.3G) /30M /內顯Xe-core /無風扇【代理盒裝】,8750
2026-08-14,17:21,8,Intel Core Ultra 7 265KF【20核】3.9G(↑5.4G) /30M /無內顯 /無風扇【代理盒裝】,9380
2026-08-14,17:21,9,Intel Core Ultra 7 265K【20核】3.9G(↑5.4G) /30M /內顯Xe-core /無風扇【代理盒裝】,10300
2026-08-14,17:21,10,Intel Core Ultra 7 270K Plus【24核】3.7G(↑5.4G) /36M /內顯Xe-core /無風扇【代理盒裝】,12500
2026-08-14,17:21,11,Intel Core Ultra 9 285K【24核】3.7G(↑5.7G) /36M /內顯Xe-core /無風扇【代理盒裝】,19500
2026-08-14,17:21,13,Intel i3-14100【4核/8緒】3.5GHz(↑4.7GHz) /12M /UHD730 /60W 【代理盒裝】,4800
2026-08-14,17:21,14,Intel i5-14400F【10核/16緒】2.5GHz(↑4.7G) /20M /無內顯 /65W 【代理盒裝】,6250
2026-08-14,17:21,15,Intel i5-14400【10核/16緒】2.5GHz(↑4.7G) /20M /UHD730 /65W 【代理盒裝】,7250
2026-08-14,17:21,16,Intel i7-14700【20核/28緒】2.1GHz(↑5.4G) /33M /UHD770 /65W 【代理盒裝】,11800
2026-08-14,17:21,18,Intel i5-12400【6核/12緒】2.5G(↑4.4G) /18M /UHD730 /65w 【代理盒裝】~限組裝~,6100
2026-08-14,17:21,20,Intel Xeon W7-3465X【28核/56緒】2.50GHz(↑4.8GHz) /75M /300W【代理盒裝】,101600
2026-08-14,17:21,22,AMD R5 3400G 代理盒裝【4核/8緒】3.7G(↑4.2G)65W /12nm /代理商三年保 /含內顯,2099
2026-08-14,17:21,23,AMD R5 5600X MPK(含風扇)【6核/12緒】3.7G(↑4.6G)代理商三年保,4790
2026-08-14,17:21,24,AMD R7 5800X3D 十週年紀念版 AM4輝煌十載【8核/16緒】3.4G(↑4.5G)105W/7nm,11790
2026-08-14,17:21,26,[搭CPU現省400] 華碩 PRIME B840M-A-CSM(M-ATX/註冊四年保)8+2+1相供電,2990
2026-08-14,17:21,27,AMD R5 7500F MPK(含風扇)【6核/12緒】3.7G(↑5.0G)代理商三年保,4790
2026-08-14,17:21,28,[搭板專案 ]AMD R5 7500F MPK(含風扇)【6核/12緒】3.7G(↑5.0G)搭主機板省300,4490
2026-08-14,17:21,29,AMD R7 7700 MPK(代理含風扇)【8核/16緒】3.8G(↑5.3G)65W /具內顯 /代理商三年保,7190
2026-08-14,17:21,30,[搭板專案]AMD R7 7700 MPK(代理含風扇【8核/16緒】3.8G(↑5.3G)搭主機板省450,6740
2026-08-14,17:21,31,AMD R7 7800X3D Tray盤【8核/16緒】4.2G(↑5.0G)96M/120W/具內顯三年保,9990
2026-08-14,17:21,33,AMD R5 8400F盒【6核/12緒】4.2G(↑4.7G)65W,4950
2026-08-14,17:21,34,AMD R5 8400F盒【6核/12緒】4.2G(↑4.7G)65W【任搭主機板】,4450
2026-08-14,17:21,35,AMD R7 8700G盒【8核/16緒】4.2G(↑5.1G)65W/RDNA 3內顯 /內建NPU支持AI,9450
2026-08-14,17:21,37,[搭CPU現省400] 華碩 PRIME B840M-A-CSM(M-ATX/註冊四年保)8+2+1相供電,2990
2026-08-14,17:21,38,AMD R5 9600X代理盒裝【6核/12緒】3.9G(↑5.4G)65W /具RDNA內顯,7950
2026-08-14,17:21,39,[搭板專案 ] AMD R5 9600X代理盒裝【6核/12緒】3.9G(↑5.4G)任搭主機板現省600,7350
2026-08-14,17:21,40,AMD R7 9700X代理盒裝【8核/16緒】3.8G(↑5.5G)65W /具RDNA內顯,11450
2026-08-14,17:21,41,[搭板專案 ] AMD R7 9700X代理盒裝【8核/16緒】3.8G(↑5.5G)任搭主機板現省900,10550
2026-08-14,17:21,42,AMD R7 9800X3D代理盒裝【8核/16緒】4.7G(↑5.2G)120W /96M /具RDNA內顯,15900
2026-08-14,17:21,43,[搭板專案 ] AMD R7 9800X3D代理盒【8核/16緒】4.7G(↑5.2G)任搭主機板現省900,15000
2026-08-14,17:21,44,AMD R7 9850X3D代理盒裝【8核/16緒】4.7G(↑5.6G)120W/96M/具內顯,16000
2026-08-14,17:21,45,AMD R9 9900X代理盒裝【12核/24緒】4.4G(↑5.6G)120W /具內顯,13900
2026-08-14,17:21,46,AMD R9 9900X3D代理盒裝【12核/24緒】4.4G(↑5.5G)120W /具內顯,19750
2026-08-14,17:21,47,AMD R9 9950X代理盒裝【16核/32緒】4.3G(↑5.7G)170W /具內顯,19500
2026-08-14,17:21,48,AMD R9 9950X3D代理盒裝【16核/32緒】4.3G(↑5.7G)170W /具內顯,22200
2026-08-14,17:21,49,AMD R9 9950X3D2 雙3D-V-Cache技術【16核/32緒】4.3G(↑5.6G)200W /具內顯,31000
2026-08-14,17:21,51,AMD Ryzen TR 9960X盒【24核/48緒】4.2G(↑5.4G)350W /128M /4nm,51960
2026-08-14,17:21,52,AMD Ryzen TR 9970X盒【32核/64緒】4.0G(↑5.4G)350W /128M /4nm,86550
2026-08-14,17:21,53,AMD Ryzen TR 9980X盒【64核/128緒】3.2G(↑5.4G)350W /256M /4nm,173550
2026-08-14,17:21,55,AMD Ryzen TR PRO 9955WX盒【16核/32緒】4.5G(↑5.4G)350W /64M /4nm,56750
2026-08-14,17:21,56,AMD Ryzen TR PRO 9965WX盒【24核/48緒】4.2G(↑5.4G)350W /128M /4nm,99950
2026-08-14,17:21,57,AMD Ryzen TR PRO 9975WX盒【32核/64緒】4.0G(↑5.4G)350W /128M /4nm,143250
2026-08-14,17:21,58,AMD Ryzen TR PRO 9985WX盒【64核/128緒】3.2G(↑5.4G)350W /256M /4nm,276850
2026-08-14,17:21,59,AMD Ryzen TR PRO 9995WX盒【96核/192緒】2.5G(↑5.4G)350W /384M /4nm,392000
2026-08-14,17:41,20,Intel Xeon W7-3465X【28核/56緒】2.50GHz(↑4.8GHz) /75M /300W【代理盒裝】,101600
2026-08-14,17:49,20,Intel Xeon W7-3465X【28核/56緒】2.50GHz(↑4.8GHz) /75M /300W【代理盒裝】,101600
2026-08-14,17:49,51,AMD Ryzen TR 9960X盒【24核/48緒】4.2G(↑5.4G)350W /128M /4nm,51960
2026-08-14,17:49,52,AMD Ryzen TR 9970X盒【32核/64緒】4.0G(↑5.4G)350W /128M /4nm,86550
2026-08-14,17:49,53,AMD Ryzen TR 9980X盒【64核/128緒】3.2G(↑5.4G)350W /256M /4nm,173550
2026-08-14,17:49,55,AMD Ryzen TR PRO 9955WX盒【16核/32緒】4.5G(↑5.4G)350W /64M /4nm,56750
2026-08-14,17:49,56,AMD Ryzen TR PRO 9965WX盒【24核/48緒】4.2G(↑5.4G)350W /128M /4nm,99950
2026-08-14,17:49,57,AMD Ryzen TR PRO 9975WX盒【32核/64緒】4.0G(↑5.4G)350W /128M /4nm,143250
2026-08-14,17:49,58,AMD Ryzen TR PRO 9985WX盒【64核/128緒】3.2G(↑5.4G)350W /256M /4nm,276850
2026-08-14,17:49,59,AMD Ryzen TR PRO 9995WX盒【96核/192緒】2.5G(↑5.4G)350W /384M /4nm,392000
