產品ID,產品名稱,目前價格,熱賣,原始文字
3,華碩 PRO WS W680-ACE(ATX/1A1H1P/雙Intel 2.5Gb/註四年) 穩定.可靠性高,9990,,"華碩 PRO WS W680-ACE(ATX/1A1H1P/雙Intel 2.5Gb/註四年) 穩定.可靠性高, $9990 ◆ ★"
4,華碩 PRO WS W680-ACE IPMI(ATX/1A1H1P/雙Intel 2.5Gb/註四年)附華碩IPMI擴展卡,13990,,"華碩 PRO WS W680-ACE IPMI(ATX/1A1H1P/雙Intel 2.5Gb/註四年)附華碩IPMI擴展卡, $13990 ◆ ★"
7,華碩 Pro WS W790-ACE(CEB/8*DDR5/Marvell 10Gb+Intel 2.5Gb/註四年)IPMI遠程管理,27990,,"華碩 Pro WS W790-ACE(CEB/8*DDR5/Marvell 10Gb+Intel 2.5Gb/註四年)IPMI遠程管理, $27990 ◆ ★"
8,華碩 Pro WS W790E-SAGE SE(EEB/8*DDR5/2*Intel 10G+LAN 1Gb)14+1+1功率級,39990,,"華碩 Pro WS W790E-SAGE SE(EEB/8*DDR5/2*Intel 10G+LAN 1Gb)14+1+1功率級, $39990 ◆ ★"
10,華碩 Pro WS W890-SAGE(CEB/LAN 10Gb+Intel 2.5Gb/註四年)12+2+2+1+2 相 *客訂,29990,,"華碩 Pro WS W890-SAGE(CEB/LAN 10Gb+Intel 2.5Gb/註四年)12+2+2+1+2 相 *客訂, $29990 ◆ ★ ↓任搭400↓"
11,華碩 Pro WS W890E-SAGE SE(EEB/2*Intel 10G+LAN 1Gb/註四年)16+2+2+1+2 相供電,39990,,"華碩 Pro WS W890E-SAGE SE(EEB/2*Intel 10G+LAN 1Gb/註四年)16+2+2+1+2 相供電, $39990 ◆ ★ ↓任搭500↓"
14,華碩 PRIME H610I-PLUS-CSM(DDR5)(Mini-ITX/Intel 1Gb/註四年)5+1+1相供電,3590,,"華碩 PRIME H610I-PLUS-CSM(DDR5)(Mini-ITX/Intel 1Gb/註四年)5+1+1相供電, $3590 ◆ ★ ↓任搭90↓"
15,華碩 PRIME H610M-E-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM),2490,,"華碩 PRIME H610M-E-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM), $2490 ◆ ★ ↓任搭90↓"
16,華碩 PRIME H610M-F(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM),2690,,"華碩 PRIME H610M-F(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM), $2690 ◆ ★ ↓任搭90↓"
17,[裝機價] 華碩 PRIME H610M-F(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM),1990,,"[裝機價] 華碩 PRIME H610M-F(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM), $1990 ◆ ★ ↓任搭90↓"
18,華碩 PRIME H610M-K-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM),2990,,"華碩 PRIME H610M-K-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM), $2990 ◆ ★ ↓任搭90↓"
19,[裝機價] 華碩 PRIME H610M-K-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM),2290,是,"[裝機價] 華碩 PRIME H610M-K-CSM(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM), $2290 ◆ ★ 熱賣 ↓任搭90↓"
20,微星 PRO H610M-S(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM),2090,,"微星 PRO H610M-S(DDR5)(M-ATX/LAN 1Gb/註冊四年/2DIMM), $2090 ◆ ★ ↓任搭100↓"
21,微星 PRO H610M-E(M-ATX/LAN 1Gb/註四年/2DIMM)6+1+1 相電源,2290,,"微星 PRO H610M-E(M-ATX/LAN 1Gb/註四年/2DIMM)6+1+1 相電源, $2290 ◆ ★ ↓任搭90↓"
22,華擎 H610M-H2/M.2 D5(M-ATX/LAN 1Gb/註四年/2DIMM)3+1+1 相電源,1990,,"華擎 H610M-H2/M.2 D5(M-ATX/LAN 1Gb/註四年/2DIMM)3+1+1 相電源, $1990 ◆ ★ ↓任搭90↓"
