產品ID,產品名稱,目前價格,熱賣,原始文字
3,海韻 FOCUS GX-750 ATX3 金牌/全模+鈦鉭 TCOMAS LE200 360(黑)水冷 現省,4290,,"海韻 FOCUS GX-750 ATX3 金牌/全模+鈦鉭 TCOMAS LE200 360(黑)水冷 現省$2090！, $4290 ◆ ★"
4,海韻 FOCUS GX-750 ATX3(白色)金牌+鈦鉭 TCOMAS LE200 360(白)水冷 現省,4290,,"海韻 FOCUS GX-750 ATX3(白色)金牌+鈦鉭 TCOMAS LE200 360(白)水冷 現省$2390！, $4290 ◆ ★"
5,XPG CYBERCORE II 1300W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價,4990,,"XPG CYBERCORE II 1300W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價$7490, $4990 ◆ ★"
6,XPG CORE REACTOR II VE 750W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價,2790,,"XPG CORE REACTOR II VE 750W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價$3190, $2790 ◆ ★"
8,XPG CORE REACTOR II VE 850W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價,3190,,"XPG CORE REACTOR II VE 850W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價$3490, $3190 ◆ ★"
9,COUGAR ATLAS 750W 雙8/銅牌/ATX3.1(PCIe 5.1)/主日系/5年保 原價,1790,,"COUGAR ATLAS 750W 雙8/銅牌/ATX3.1(PCIe 5.1)/主日系/5年保 原價$2090！, $1790 ◆ ★"
10,COUGAR GR 750W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保 原價,2590,,"COUGAR GR 750W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保 原價$2990！, $2590 ◆ ★"
11,COUGAR GR 850W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保 原價,2890,,"COUGAR GR 850W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保 原價$3290！, $2890 ◆ ★"
12,台達 超實在 1100W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價,5390,,"台達 超實在 1100W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價$6990！, $5390 ◆ ★"
13,Apexgaming GTR-750MW(750W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年 原價,2490,,"Apexgaming GTR-750MW(750W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年 原價$2790, $2490 ◆ ★"
14,Apexgaming GTR-850MW(850W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年 原價,2790,,"Apexgaming GTR-850MW(850W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年 原價$3090, $2790 ◆ ★"
15,Apexgaming GTR Plus-1000M(1000W) 雙8/白金/全模/ATX3.1(PCIe 5.1)/10年 原價,3390,,"Apexgaming GTR Plus-1000M(1000W) 雙8/白金/全模/ATX3.1(PCIe 5.1)/10年 原價$5590, $3390 ◆ ★"
16,Apexgaming GTR Plus-1000MW(1000W) 白色/白金/全模/ATX3.1(PCIe 5.1)10年 原價,3590,,"Apexgaming GTR Plus-1000MW(1000W) 白色/白金/全模/ATX3.1(PCIe 5.1)10年 原價$5790, $3590 ◆ ★"
20,華碩 ROG LOKI 750W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,5990,,"華碩 ROG LOKI 750W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】, $5990 ◆ ★"
21,華碩 ROG LOKI 850W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,6990,,"華碩 ROG LOKI 850W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】, $6990 ◆ ★"
22,華碩 ROG LOKI 850W 白色版 雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】,7490,,"華碩 ROG LOKI 850W 白色版 雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】, $7490 ◆ ★"
