日期,時間,產品ID,產品名稱,目前價格
2026-08-14,17:21,3,海韻 FOCUS GX-750 ATX3 金牌/全模+鈦鉭 TCOMAS LE200 360(黑)水冷 現省,4290
2026-08-14,17:21,4,海韻 FOCUS GX-750 ATX3(白色)金牌+鈦鉭 TCOMAS LE200 360(白)水冷 現省,4290
2026-08-14,17:21,5,XPG CYBERCORE II 1300W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價,4990
2026-08-14,17:21,6,XPG CORE REACTOR II VE 750W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價,2790
2026-08-14,17:21,8,XPG CORE REACTOR II VE 850W 雙8/金牌/全模/ATX3.1(PCIe 5.1)/7年保 原價,3190
2026-08-14,17:21,9,COUGAR ATLAS 750W 雙8/銅牌/ATX3.1(PCIe 5.1)/主日系/5年保 原價,1790
2026-08-14,17:21,10,COUGAR GR 750W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保 原價,2590
2026-08-14,17:21,11,COUGAR GR 850W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/主日系/5年保 原價,2890
2026-08-14,17:21,12,台達 超實在 1100W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價,5390
2026-08-14,17:21,13,Apexgaming GTR-750MW(750W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年 原價,2490
2026-08-14,17:21,14,Apexgaming GTR-850MW(850W) 白色/雙8/金牌/全模/ATX3.0(PCIe 5.0)/10年 原價,2790
2026-08-14,17:21,15,Apexgaming GTR Plus-1000M(1000W) 雙8/白金/全模/ATX3.1(PCIe 5.1)/10年 原價,3390
2026-08-14,17:21,16,Apexgaming GTR Plus-1000MW(1000W) 白色/白金/全模/ATX3.1(PCIe 5.1)10年 原價,3590
2026-08-14,17:21,20,華碩 ROG LOKI 750W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,5990
2026-08-14,17:21,21,華碩 ROG LOKI 850W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,6990
2026-08-14,17:21,22,華碩 ROG LOKI 850W 白色版 雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】,7490
2026-08-14,17:21,23,華碩 ROG LOKI 1000W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,8490
2026-08-14,17:21,24,華碩 ROG LOKI 1200W 雙8/鈦金/ATX3.1(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,9990
2026-08-14,17:21,25,Apexgaming KR-750M(750W) 雙8/白金/全模/ATX3.0(PCIe 5.0)/全日系/10年【SFX】,3590
2026-08-14,17:21,26,Apexgaming KR-850MW(850W) 白色 雙8/白金/全模/ATX3.0(PCIe 5.0)/10年【SFX】,4490
2026-08-14,17:21,27,全漢 金鋼彈 650W 雙8/金牌/全模/全日系/DC-DC/10年保固【SFX規格】,2890
2026-08-14,17:21,28,全漢 金鋼彈 750W ATX3.1(PCIe 5.1) 雙8/金牌/全模/主日系/10年保【SFX規格】,3690
2026-08-14,17:21,29,全漢 金鋼彈 850W ATX3.1(PCIe 5.1) 雙8/金牌/全模/主日系/10年保【SFX規格】,4590
2026-08-14,17:21,30,全漢 金鋼彈 850W ATX3.0(PCIe 5.0) 白色/雙8/金牌/全模/主日系/10年保【SFX規格】,4590
2026-08-14,17:21,31,全漢 DAGGER PM 1200W(MIT) 雙8/白金/全模/ATX3.1(PCIe 5.1)/主日系/10年【SFX-L】,7990
2026-08-14,17:21,32,銀欣 300W 銅牌/5年保 (ST30SF.V2.0)【SFX規格】,1790
2026-08-14,17:21,33,銀欣 450W 銅牌/5年保 (ST45SF.V3.0)【SFX規格】,2190
2026-08-14,17:21,34,銀欣 Extreme 550Rz(550W) Gold 雙8/金牌/全模組/主日系/ATX3.1/5年保【SFX規格】,2490
2026-08-14,17:21,35,銀欣 Extreme 650Rz(650W) Gold 雙8/金牌/全模組/主日系/ATX3.1/5年保【SFX規格】,2790
2026-08-14,17:21,36,酷碼 V SFX GOLD 850W ATX3.1 黑色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】,4690
2026-08-14,17:21,37,酷碼 V SFX GOLD 850W ATX3.1 白色 雙8/金牌/全模組(PCIe 5.1)/10年【SFX規格】,4690
2026-08-14,17:21,40,華碩 ROG LOKI 750W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,5990
2026-08-14,17:21,41,華碩 ROG LOKI 850W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,6990
2026-08-14,17:21,42,華碩 ROG LOKI 850W 白色版 雙8/白金/ATX3.0(PCIe 5.0)/ARGB/10年保【SFX-L規格】,7490
2026-08-14,17:21,43,華碩 ROG LOKI 1000W 雙8/白金/ATX3.0(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,8490
2026-08-14,17:21,44,華碩 ROG LOKI 1200W 雙8/鈦金/ATX3.1(PCIe 5.0)/ARGB風扇/10年保【SFX-L規格】,9990
2026-08-14,17:21,45,華碩 PRIME 550W 銅牌/直出線/雙滾珠風扇/壓紋線材/6年保,1790
2026-08-14,17:21,46,華碩 TUF GAMING 650W EVO 銅牌/全模組/ATX3.1/防潮塗層/6年保,1990
2026-08-14,17:21,47,華碩 TUF GAMING 750W EVO 雙8/銅牌/全模組/ATX3.1/防潮塗層/6年保,2390
2026-08-14,17:21,48,華碩 TUF GAMING 850W Gold EVO 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/8年保,3490
2026-08-14,17:21,49,華碩 TUF GAMING 1000W Gold EVO 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/8年保,4390
2026-08-14,17:21,50,華碩 TUF GAMING 1000W Gold 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/防潮塗層/10年保,4590
2026-08-14,17:21,51,華碩 TUF GAMING 1000W Gold 白色版 雙8/金牌/全模組/ATX3.0(PCIe 5.0)/10年保,5090
2026-08-14,17:21,52,華碩 TUF GAMING 850W 白金/全模組/ATX3.1(PCIe 5.1)8年 送華碩(ESD-T1A) SSD外接盒▼下殺到 8/31 20:00,4390
2026-08-14,17:21,53,華碩 TUF GAMING 1000W 白金/全模組/ATX3.1(PCIe 5.1)8年 送華碩(ESD-T1A) SSD外接盒▼下殺到 8/31 20:00,4990
2026-08-14,17:21,54,華碩 TUF GAMING 1200W 白金/全模組/ATX3.1(PCIe 5.1)8年 送華碩(ESD-T1A) SSD外接盒▼下殺到 8/31 20:00,5990
2026-08-14,17:21,55,華碩 ROG STRIX 1000W 白金(Equalizer)/全模/ATX3.1(PCIe 5.1)10年 送Herculx 顯卡支撐架▼下殺到 8/31 20:00,6490
2026-08-14,17:21,56,華碩 ROG STRIX 1200W 白金(Equalizer)/全模/ATX3.1(PCIe 5.1)10年 送Herculx 顯卡支撐架▼下殺到 8/31 20:00,7490
2026-08-14,17:21,58,華碩 ROG THOR III 1000W 雙8/白金/全模組/OLED監控/ATX3.1(PCIe 5.1)/10年保,10490
2026-08-14,17:21,59,華碩 ROG THOR III 1200W 雙8/白金/全模組/OLED監控/ATX3.1(PCIe 5.1)/10年保,11990
2026-08-14,17:21,60,華碩 ROG THOR III 1200W Hatsune Miku 聯名版 /白金/全模組/ATX3.1(PCIe 5.1)/10年,15990
2026-08-14,17:21,61,華碩 ROG THOR III 1200W(白色) 白金(ROG Equalizer)/全模/OLED/ATX3.1(PCIe 5.1)/10年,14590
2026-08-14,17:21,62,華碩 ROG THOR III EVO 1600W 鈦金/全模/OLED/ATX3.1(雙PCie 5.1/Equalizer線)10年,23990
2026-08-14,17:21,63,華碩 Pro WS 2200W 雙8/白金/全模組/ATX3.1(4*PCIe 5.1)/10年保(限220V T型插座),19990
2026-08-14,17:21,64,華碩 Pro WS 3000W 雙8/白金/全模組/ATX3.1(4*PCIe 5.1)/10年保(限220V T型插座),29990
2026-08-14,17:21,67,海韻 S12III-500W 銅牌/智慧溫控風扇/5年保,1550
2026-08-14,17:21,68,海韻 S12III-550W 銅牌/智慧溫控風扇/5年保,1750
2026-08-14,17:21,69,海韻 S12III-650W 銅牌/智慧溫控風扇/5年保,1950
2026-08-14,17:21,70,海韻 CORE GX-650 ATX3(650W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,2990
2026-08-14,17:21,71,海韻 CORE GX-750 ATX3(750W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,3290
2026-08-14,17:21,72,海韻 CORE GX-850 ATX3(850W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,3790
2026-08-14,17:21,73,海韻 CORE GX-650 ATX3(650W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年▼下殺到 8/31 20:00,2690
2026-08-14,17:21,74,海韻 CORE GX-750 ATX3(750W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年▼下殺到 8/31 20:00,2890
2026-08-14,17:21,75,海韻 CORE GX-850 ATX3(850W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年▼下殺到 8/31 20:00,3290
2026-08-14,17:21,76,海韻 FOCUS GX-550(550W) 雙8/金牌/全模組/10年保,2590
2026-08-14,17:21,77,海韻 FOCUS GX-650(650W) 雙8/金牌/全模組/10年保▼下殺到 8/31 20:00,2650
2026-08-14,17:21,78,海韻 FOCUS GX-750(750W) 雙8/金牌/全模組/10年保,2990
2026-08-14,17:21,79,海韻 FOCUS GX-850(850W) 雙8/金牌/全模組/10年保,3490
2026-08-14,17:21,80,海韻 FOCUS GX-750 ATX3(750W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,3790
2026-08-14,17:21,81,海韻 FOCUS GX-750 ATX3 金牌/全模+鈦鉭 TCOMAS LE200 360(黑)水冷 現省,4290
2026-08-14,17:21,82,海韻 FOCUS GX-750 ATX3(750W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保▼下殺到 8/31 20:00,3490
2026-08-14,17:21,83,海韻 FOCUS GX-750 ATX3(白色)金牌+鈦鉭 TCOMAS LE200 360(白)水冷 現省,4290
2026-08-14,17:21,84,海韻 FOCUS GX-850 ATX3(850W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,4290
2026-08-14,17:21,85,海韻 FOCUS GX-850 ATX3(850W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,4490
2026-08-14,17:21,86,海韻 FOCUS GX-1000 ATX3(1000W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保▼下殺到 8/31 20:00,4990
2026-08-14,17:21,87,海韻 FOCUS GX-1000 ATX3(1000W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保▼下殺到 8/31 20:00,4890
2026-08-14,17:21,88,海韻 FOCUS PX-850 ATX3.1(850W) 雙8/白金/全模組/PCIe 5.1/全日系/10年保,4790
2026-08-14,17:21,89,海韻 FOCUS PX-1000 ATX3.1(1000W) 雙8/白金/全模組/PCIe 5.1/全日系/10年保,6090
2026-08-14,17:21,90,海韻 VERTEX GX-1200(1200W) 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/12年保,6490
2026-08-14,17:21,91,海韻 VERTEX GX-1200(1200W) 白色版 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/12年保,6490
2026-08-14,17:21,92,海韻 VERTEX PX-1200(1200W) 雙8/白金/全模組/ATX3.1(PCIe 5.1)/12年保,7590
2026-08-14,17:21,94,海韻 PRIME PX-1600 ATX3.0(1600W) 雙8/白金/全模組/雙PCIe 5.1/12年保,16490
2026-08-14,17:21,95,海韻 PRIME PX-2200 ATX3(2200W) 雙8/白金/全模組/4*PCIe 5.1/12年保(限220V H型插座),17490
2026-08-14,17:21,96,海韻 PRIME TX-1300 ATX3(1300W) 雙8/鈦金/全模組/PCIe 5.1/12年保,16490
2026-08-14,17:21,97,海韻 PRIME TX-1600 ATX3(1600W) 雙8/鈦金/全模組/雙PCIe 5.1/12年保,18490
2026-08-14,17:21,100,台達 550W 雙8/銅牌/DC-DC/5年保固/3年換新/GPS-550GB A,1990
2026-08-14,17:21,101,台達 650W 雙8/銅牌/DC-DC/5年保固/3年換新/GPS-650FB A,2190
2026-08-14,17:21,102,台達 650W 雙8/金牌/全模組/DC-DC/10年保固/3年換新/GPS-650MB A,2890
2026-08-14,17:21,103,台達 超實在 850W 雙8/金牌/全模組/ATX3.1(PCIe 5.1)/10年保,3890
2026-08-14,17:21,104,台達 超實在 1100W 雙8/白金/全模組/ATX3.0(PCIe 5.0)/10年保 原價,5390
