產品ID,產品名稱,目前價格,熱賣,原始文字
3,UMAX S330 480GB /2.5吋/讀560/寫450/3D NAND Flash【三年保】,2400,是,"UMAX S330 480GB /2.5吋/讀560/寫450/3D NAND Flash【三年保】, $2400 ◆ ★ 熱賣"
4,威剛 Ultimate SU650 240G/2.5吋/讀520/寫450/TLC顆粒【三年保】,1799,,"威剛 Ultimate SU650 240G/2.5吋/讀520/寫450/TLC顆粒【三年保】, $1799 ◆ ★"
5,威剛 Ultimate SU650 480G/2.5吋/讀520/寫450/TLC顆粒【三年保】,2699,,"威剛 Ultimate SU650 480G/2.5吋/讀520/寫450/TLC顆粒【三年保】, $2699 ◆ ★"
6,威剛 Ultimate SU800 1TB/2.5吋/讀560/寫520/TLC/DRAM快取/SMI/台灣製【五年】,6099,,"威剛 Ultimate SU800 1TB/2.5吋/讀560/寫520/TLC/DRAM快取/SMI/台灣製【五年】, $6099 ◆ ★"
7,金士頓 A400 240G/2.5吋/讀500/寫350/TLC顆粒【三年保】,1950,,"金士頓 A400 240G/2.5吋/讀500/寫350/TLC顆粒【三年保】, $1950 ◆ ★"
8,金士頓 A400 480G/2.5吋/讀500/寫450/TLC顆粒【三年保】,3400,,"金士頓 A400 480G/2.5吋/讀500/寫450/TLC顆粒【三年保】, $3400 ◆ ★"
9,金士頓 A400 480G/2.5吋/讀500/寫450/TLC顆粒【三年保】~搭機價~,3100,是,"金士頓 A400 480G/2.5吋/讀500/寫450/TLC顆粒【三年保】~搭機價~, $3100 ◆ ★ 熱賣"
10,金士頓 A400 960G/2.5吋/讀500/寫450/TLC顆粒【三年保】,5600,,"金士頓 A400 960G/2.5吋/讀500/寫450/TLC顆粒【三年保】, $5600 ◆ ★"
11,金士頓 A400 960G/2.5吋/讀500/寫450/TLC顆粒【三年保】~搭機價~,5100,是,"金士頓 A400 960G/2.5吋/讀500/寫450/TLC顆粒【三年保】~搭機價~, $5100 ◆ ★ 熱賣"
12,金士頓 SKC600 256G/2.5吋/讀550/寫500/SMI/3D TLC【五年保】,3100,,"金士頓 SKC600 256G/2.5吋/讀550/寫500/SMI/3D TLC【五年保】, $3100 ◆ ★"
13,金士頓 SKC600 256G/2.5吋/讀550/寫500/SMI/3D TLC【五年保】~搭機價~,2888,,"金士頓 SKC600 256G/2.5吋/讀550/寫500/SMI/3D TLC【五年保】~搭機價~, $2888 ◆ ★"
14,金士頓 SKC600 512G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】,4700,,"金士頓 SKC600 512G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】, $4700 ◆ ★"
15,金士頓 SKC600 512G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】~搭機價~,4450,,"金士頓 SKC600 512G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】~搭機價~, $4450 ◆ ★"
16,金士頓 SKC600 1024G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】,8300,,"金士頓 SKC600 1024G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】, $8300 ◆ ★"
17,金士頓 SKC600 1024G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】~搭機價~,7550,,"金士頓 SKC600 1024G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】~搭機價~, $7550 ◆ ★"
18,金士頓 SKC600 2048G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】,14500,,"金士頓 SKC600 2048G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】, $14500 ◆ ★"
19,金士頓 SKC600 2048G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】~搭機價~,13500,,"金士頓 SKC600 2048G/2.5吋/讀550/寫520/SMI/3D TLC【五年保】~搭機價~, $13500 ◆ ★"
21,致態 ZhiTai 致態小翼 S001 500GB/2.5吋/SATA 3/讀550/寫500【三年保】~送手機掛繩~,2699,,"致態 ZhiTai 致態小翼 S001 500GB/2.5吋/SATA 3/讀550/寫500【三年保】~送手機掛繩~, $2699 ◆ ★"
22,致態 ZhiTai 致態小翼 S001 1TB/2.5吋/SATA 3/讀550/寫500【三年保】~送手機掛繩~,3999,,"致態 ZhiTai 致態小翼 S001 1TB/2.5吋/SATA 3/讀550/寫500【三年保】~送手機掛繩~, $3999 ◆ ★"
24,十銓 T-Force Vulcan Z 火神Z 256G/2.5吋/讀520/寫450/3D NAND/TLC【三年保】,1790,,"十銓 T-Force Vulcan Z 火神Z 256G/2.5吋/讀520/寫450/3D NAND/TLC【三年保】, $1790 ◆ ★"
25,十銓 T-Force Vulcan Z 火神Z 512G/2.5吋/讀540/寫470/3D NAND/TLC【三年保】,2480,,"十銓 T-Force Vulcan Z 火神Z 512G/2.5吋/讀540/寫470/3D NAND/TLC【三年保】, $2480 ◆ ★"
26,宏碁 Acer RE100 256GB /2.5吋/讀562/寫528/TLC【五年保】,1790,,"宏碁 Acer RE100 256GB /2.5吋/讀562/寫528/TLC【五年保】, $1790 ◆ ★"
27,宏碁 Acer RE100 512GB /2.5吋/讀562/寫529/TLC【五年保】,2650,,"宏碁 Acer RE100 512GB /2.5吋/讀562/寫529/TLC【五年保】, $2650 ◆ ★"
28,宏碁 Acer RE100 1TB /2.5吋/讀557/寫515/TLC【五年保】,4390,,"宏碁 Acer RE100 1TB /2.5吋/讀557/寫515/TLC【五年保】, $4390 ◆ ★"
29,宏碁 Acer RE100 2TB /2.5吋/讀557/寫515/TLC【五年保】,8490,,"宏碁 Acer RE100 2TB /2.5吋/讀557/寫515/TLC【五年保】, $8490 ◆ ★"
30,美光 Micron Crucial BX500 240G/2.5吋讀540/寫500/TLC【三年保】,1709,,"美光 Micron Crucial BX500 240G/2.5吋讀540/寫500/TLC【三年保】, $1709 ◆ ★"
31,美光 Micron Crucial BX500 1TB/2.5吋/讀540/寫500/TLC【三年保】限組裝~,4500,,"美光 Micron Crucial BX500 1TB/2.5吋/讀540/寫500/TLC【三年保】限組裝~, $4500 ◆ ★"
32,美光 Micron Crucial BX500 4TB/2.5吋/讀540/寫500M/TLC【三年保】,14700,,"美光 Micron Crucial BX500 4TB/2.5吋/讀540/寫500M/TLC【三年保】, $14700 ◆ ★"
33,WD Blue SA510 500GB(藍標)/2.5吋/讀560/寫530/3D TLC顆粒【五年保】,4200,,"WD Blue SA510 500GB(藍標)/2.5吋/讀560/寫530/3D TLC顆粒【五年保】, $4200 ◆ ★"
34,WD Blue SA510 1TB(藍標)/2.5吋/讀560/寫520/3D TLC顆粒【五年保】,7600,,"WD Blue SA510 1TB(藍標)/2.5吋/讀560/寫520/3D TLC顆粒【五年保】, $7600 ◆ ★"
35,WD Blue SA510 4TB(藍標)/2.5吋/讀560/寫520/3D TLC顆粒【五年保】,29500,,"WD Blue SA510 4TB(藍標)/2.5吋/讀560/寫520/3D TLC顆粒【五年保】, $29500 ◆ ★"
36,三星 Samsung 870 EVO 500G/2.5吋/讀560/寫530/TLC【五年保】,7899,,"三星 Samsung 870 EVO 500G/2.5吋/讀560/寫530/TLC【五年保】, $7899 ◆ ★"
37,三星 Samsung 870 EVO 1TB/2.5吋/讀560/寫530/TLC【五年保】,12999,,"三星 Samsung 870 EVO 1TB/2.5吋/讀560/寫530/TLC【五年保】, $12999 ◆ ★"
38,三星 Samsung 870 EVO 2TB/2.5吋/讀560/寫530/TLC【五年保】,25999,,"三星 Samsung 870 EVO 2TB/2.5吋/讀560/寫530/TLC【五年保】, $25999 ◆ ★"
39,三星 Samsung 870 EVO 4TB/2.5吋/讀560/寫530/TLC【五年保】,51999,,"三星 Samsung 870 EVO 4TB/2.5吋/讀560/寫530/TLC【五年保】, $51999 ◆ ★"
